Plane	Strip	Shift
19	28	-253.036
19	29	-253.227
19	30	-253.148
19	31	-253.289
19	32	-253.218
19	33	-253.416
19	34	-253.148
19	35	-666
19	36	-253.073
19	37	-253.233
19	38	-253.003
19	39	-253.411
19	40	-252.858
19	41	-253.518
19	42	-252.599
19	43	-253.054
19	44	-253.336
19	45	-253.336
19	46	-253.393
19	47	-666
